Rowid_,FID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,100,120064,97820556454.700149536132813,75,1204,1129,332.538296242004265,208.347552200511245,39925878.000000000000000,968,142,75,270
,101,11080,9027283494.786760330200195,2,120,118,57.788086642599275,17.836224516509201,640292.000000000000000,115,76,2,60
,102,90704,73899884667.070251464843750,182,1625,1443,506.897832510142905,198.665977573736683,45977661.000000000000000,1240,332,1042,497
,103,2215,1804641962.179844379425049,703,2282,1579,1139.234762979683865,348.917407241254864,2523405.000000000000000,920,712,703,1064
,104,533,434254702.411673605442047,730,1549,819,848.804878048780438,98.440634650095262,452413.000000000000000,230,758,730,824
,105,4255,3466704988.295818328857422,44,660,616,291.973443008225615,125.610084395229649,1242347.000000000000000,536,208,44,292
,106,4856,3956361791.578024387359619,993,2958,1965,2028.166598023064353,409.988152333692142,9848777.000000000000000,1416,1587,993,1997
,107,2974,2423027176.308287620544434,108,428,320,275.541022192333571,73.052165347104150,819459.000000000000000,301,302,108,274
,108,49,39922102.097883686423302,2835,3616,781,3121.408163265306030,208.615349423272619,152949.000000000000000,41,2885,2835,3059
,109,7541,6143930039.186549186706543,36,506,470,192.791009149980113,67.919643143454252,1453837.000000000000000,331,128,36,185
,110,6059,4936490134.919944763183594,1264,2140,876,1655.080871430929164,183.098889211270006,10028135.000000000000000,772,1493,1264,1634
,111,3432,2796176620.406874179840088,702,1638,936,910.292540792540763,129.225925525066884,3124124.000000000000000,549,834,703,885
,112,55212,44983246959.762329101562500,236,2054,1818,802.884101282329880,367.052736576128552,44328837.000000000000000,1714,507,237,745
,113,5424,4419132281.202471733093262,788,2607,1819,1275.290191740413093,299.433572702394088,6917174.000000000000000,1158,960,788,1249
,114,4238,3452854463.078185081481934,973,2737,1764,1535.147003303444990,410.552010851476950,6505953.000000000000000,1285,1104,973,1426
,115,18749,15275499841.494312286376953,1028,4736,3708,1869.991199530641552,563.883407241598320,35060465.000000000000000,2468,1610,1028,1708
,116,6982,5688492180.559672355651855,1149,2729,1580,1882.107419077628265,344.523641974064788,13140874.000000000000000,1399,1885,1150,1901
,117,13332,10862070717.734395980834961,1126,2124,998,1303.404215421542176,144.901886657516457,17376985.000000000000000,716,1137,1126,1274
,118,48367,39406373717.721237182617188,600,3059,2459,1673.507908284574114,500.760474436195580,80942557.000000000000000,2418,1132,603,1713
,119,19052,15522365085.079185485839844,239,3840,3601,874.158933445307525,529.593344042424519,16654476.000000000000000,2245,500,239,692
,120,8639,7038511020.890147209167480,1224,2778,1554,2042.697071420303246,247.725664574708901,17646860.000000000000000,1203,1960,1229,2007
,121,570,464399963.179463326931000,644,823,179,727.685964912280724,31.409988011395058,414781.000000000000000,137,736,646,731
,122,14545,11850346428.851392745971680,8,403,395,142.827363355104836,83.320398839642863,2077424.000000000000000,372,83,349,129
,123,863,703117838.989257693290710,355,731,376,559.738122827346501,86.897849059775126,483054.000000000000000,298,631,355,577
,124,31913,26000694780.607391357421875,361,1456,1095,560.706451916146989,148.159588152797596,17893825.000000000000000,869,367,361,542
,125,841,685193629.884085416793823,362,1202,840,434.379310344827559,68.153844295616267,365313.000000000000000,204,368,394,423
,126,2247,1830713539.060094833374023,1347,4156,2809,2288.399643969737554,634.603157404295416,5142034.000000000000000,1212,1864,1347,2017
,127,52653,42898335546.119796752929688,276,4231,3955,1403.509885476611089,619.577542668483147,73899006.000000000000000,3075,1812,429,1309
,128,37148,30265841810.860885620117188,10,506,496,197.580811887584787,88.607333597224923,7339732.000000000000000,486,170,11,190
,129,12649,10305605498.696546554565430,0,442,442,61.875405170369199,70.228661932282591,782662.000000000000000,374,20,277,28
,130,757,616755740.573427677154541,1414,1956,542,1547.589167767503341,96.772918026563801,1171525.000000000000000,227,1538,1414,1532
,131,23162,18870933240.636367797851563,419,3432,3013,1319.684871772731185,578.342284151409217,30566541.000000000000000,2624,972,419,1123
,132,316,257456821.692474424839020,602,2156,1554,1263.848101265822834,532.167054969704964,399376.000000000000000,212,604,602,1363
,133,21045,17146135482.652290344238281,206,1984,1778,671.777096697552906,249.789333083577020,14137549.000000000000000,1257,419,206,665
,134,60425,49230469780.910652160644531,276,2225,1949,650.935639222176292,208.865563329395798,39332786.000000000000000,1473,584,289,605
,135,1401,1141446225.288470506668091,449,1632,1183,544.151320485367592,159.076173781601796,762356.000000000000000,317,456,532,481
,136,6597,5374818521.219157218933105,1104,2955,1851,1552.631650750341123,304.744304688632667,10242711.000000000000000,1218,1445,1104,1512
,137,33570,27350713620.937866210937500,375,1943,1568,1051.893565683646102,221.384556095036089,35312067.000000000000000,1199,1075,375,1094
,138,4,3258947.110031321644783,662,729,67,700.000000000000000,26.201145013147805,2800.000000000000000,4,662,662,690
,139,11127,9065576123.329629898071289,456,2088,1632,913.147209490428736,350.972150496688414,10160589.000000000000000,1213,475,456,885
,140,53,43181049.207915008068085,474,1314,840,669.358490566037744,233.082874105960826,35476.000000000000000,40,479,475,596
,141,1172,954871503.239177227020264,1196,1873,677,1393.332764505119485,140.340274621197779,1632986.000000000000000,398,1310,1196,1354
,142,206,167835776.166613072156906,625,956,331,668.572815533980588,56.223479520163870,137726.000000000000000,84,639,625,648
,143,9426,7679708864.788809776306152,894,1909,1015,1331.115319329514023,163.872640398430150,12547093.000000000000000,786,1194,894,1297
,144,1219,993164131.782045245170593,1084,1666,582,1214.530762920426469,112.983775601327068,1480513.000000000000000,350,1140,1084,1174
,145,1039,846511511.830635786056519,478,2025,1547,1026.098171318575623,405.803270687887675,1066116.000000000000000,655,480,484,945
,146,18956,15444150354.438432693481445,41,2742,2701,600.797531124709849,352.339600045924556,11388718.000000000000000,1580,626,235,629
,147,585,476621014.842080771923065,466,863,397,532.629059829059884,50.685362710876610,311588.000000000000000,153,515,466,525
,148,22593,18407348014.234413146972656,415,2527,2112,1233.587748417651483,442.276767623826004,27870448.000000000000000,1962,1170,415,1220
,149,15639,12741668463.444959640502930,385,1931,1546,682.947886693522605,210.559242521904395,10680622.000000000000000,1071,627,385,631
,150,4156,3386046047.322543144226074,32,898,866,246.128488931665061,126.361653271264160,1022910.000000000000000,560,36,32,237
,151,1928,1570812507.035097122192383,1071,4254,3183,1618.383298755186615,499.515364579868447,3120243.000000000000000,867,1288,1071,1447
,152,18485,15060409332.232244491577148,296,1923,1627,1184.553475791182109,434.703276149755084,21896471.000000000000000,1606,1591,296,1270
,153,26996,21994634045.601390838623047,730,2402,1672,1222.409838494591895,222.982138770145895,33000176.000000000000000,1252,1138,730,1179
,154,4249,3461816567.630771636962891,1106,1849,743,1368.826312073429108,134.212711653842518,5816143.000000000000000,595,1340,1117,1362
,155,2187,1781829332.409625053405762,5,1185,1180,286.326017375400113,256.324479779899093,626195.000000000000000,592,284,7,212
,156,5793,4719770152.102861404418945,675,5780,5105,1731.603832211289500,1006.688759524288457,10031181.000000000000000,2331,705,675,1392
,157,2491,2029509312.772005558013916,55,895,840,225.848253713368138,124.489023278609437,562588.000000000000000,443,108,55,200
,158,469,382111548.651172459125519,1151,1305,154,1188.132196162046966,32.820887696160142,557234.000000000000000,109,1165,1151,1173
,159,17800,14502314639.639381408691406,757,2371,1614,1427.779494382022449,409.988456641793334,25414475.000000000000000,1508,803,757,1536
,160,40676,33140233161.908508300781250,664,1993,1329,1065.226030091454504,192.005678676694572,43329134.000000000000000,1143,826,664,1058
,161,4628,3770601806.306239128112793,1019,2316,1297,1302.023336214347410,188.193224113815461,6025764.000000000000000,711,1185,1019,1215
,162,12026,9798024486.309167861938477,1033,1769,736,1275.182271744553418,196.471844385270373,15335342.000000000000000,714,1044,1033,1278
,163,4881,3976730211.015720367431641,1128,1852,724,1263.694324933415373,142.676752099255310,6168092.000000000000000,592,1146,1128,1215
,164,39128,31879020630.326389312744141,750,1757,1007,1170.449601308525871,138.568809187790805,45797352.000000000000000,961,1061,754,1152
,165,1798,1464896725.959079027175903,-1,98,99,29.152391546162402,17.677909342104012,52416.000000000000000,92,21,-1,25
,166,16761,13655803127.808746337890625,1013,1839,826,1297.800190919396300,133.538580877380980,21752429.000000000000000,612,1148,1013,1262
,167,41039,33435982612.143852233886719,522,2476,1954,1283.093764467945221,396.493050176831275,52656885.000000000000000,1708,699,522,1197
,168,12394,10097847620.432050704956055,896,3537,2641,1653.239228659028640,386.522578098124882,20490247.000000000000000,1672,1030,919,1667
,169,5413,4410170176.649886131286621,868,1731,863,1306.253833364123466,227.277688007220803,7070752.000000000000000,830,1387,868,1393
,170,1007,820439934.950385212898254,1125,1552,427,1174.617676266137096,46.836080920912366,1182840.000000000000000,165,1137,1125,1163
,171,36424,29675972383.945213317871094,773,1766,993,1267.583653634965913,138.699941067724353,46170467.000000000000000,856,1272,773,1263
,172,5719,4659479630.567281723022461,1024,1942,918,1293.631229235880483,281.239904293154439,7398277.000000000000000,840,1029,1154,1144
,173,10521,8571845636.159883499145508,605,2798,2193,1640.063872255489059,480.902271448899285,17255112.000000000000000,1966,2122,605,1643
,174,5289,4309142816.238915443420410,494,2643,2149,1566.985252410663634,457.919061271816020,8287785.000000000000000,1660,1996,494,1615
,175,27732,22594280313.847152709960938,991,1596,605,1145.119068224433931,69.730322370916539,31756442.000000000000000,548,1089,991,1133
,176,7429,6052679520.105671882629395,15,691,676,234.210257100551900,112.331519990684441,1739948.000000000000000,476,197,444,237
,177,2235,1820936697.730000972747803,1237,2283,1046,1588.460402684563860,193.632164999600832,3550209.000000000000000,691,1600,1237,1587
,178,19874,16192078716.190622329711914,51,2565,2514,335.045184663379302,325.012301686518185,6658688.000000000000000,1496,68,51,239
,179,11769,9588637134.489656448364258,772,2211,1439,1402.466224827937822,404.449913571107970,16505625.000000000000000,1105,808,772,1563
,180,607,494545223.947253048419952,1133,1507,374,1281.688632619439886,93.071726176382498,777985.000000000000000,268,1142,1133,1284
,181,34645,28226555656.758785247802734,447,1547,1100,818.975782941261400,142.889377039623866,28373416.000000000000000,905,779,447,808
,182,17065,13903483108.171125411987305,1,930,929,253.718312335188983,188.596492003998321,4329703.000000000000000,879,7,1,211
,183,6541,5329193261.678718566894531,107,758,651,302.386485246904158,74.027341132702205,1977910.000000000000000,397,325,107,306
,184,76362,62214929804.052947998046875,529,3187,2658,1281.660145098347357,375.674967531780396,97870132.000000000000000,2275,602,529,1232
,185,6943,5656717446.236866950988770,585,1720,1135,986.952470113783647,219.114607110703815,6852411.000000000000000,948,946,585,954
,186,5372,4376765968.772065162658691,283,1526,1243,706.091027550260605,232.178563657589280,3793121.000000000000000,897,898,494,757
,187,2069,1685690392.663701057434082,372,2173,1801,936.695988400193301,552.576780191772741,1938024.000000000000000,899,566,372,608
,188,3648,2972159764.348565101623535,911,2048,1137,1046.506030701754298,127.603434423955079,3817654.000000000000000,415,958,912,1000
,189,15650,12750630567.997545242309570,121,2221,2100,378.787731629392965,293.795739702566891,5928028.000000000000000,1363,253,121,278
,190,25909,21109015168.450378417968750,4,916,912,258.082017831641508,156.534423845453858,6686647.000000000000000,854,9,4,253
,191,5308,4324622815.011564254760742,1102,2058,956,1290.144875659382024,195.939883006409872,6848089.000000000000000,699,1103,1266,1196
,192,5459,4447648068.415246009826660,257,2066,1809,742.527935519325865,608.329119882231566,4053460.000000000000000,1209,264,257,338
,193,63202,51492993812.049896240234375,6,1000,994,435.946330812316091,168.453945293602857,27552680.000000000000000,958,389,6,418
,194,13375,10897104399.167232513427734,299,2266,1967,626.382056074766410,299.966798124527315,8377860.000000000000000,1265,383,299,494
,195,1404,1143890435.620993852615356,1189,1866,677,1364.128205128205082,127.402353321362554,1915236.000000000000000,425,1225,1189,1327
,196,8540,6957852079.916872024536133,476,2886,2410,1627.655854800936822,648.262795430054780,13900181.000000000000000,2212,483,476,1719
,197,107905,87914171976.982437133789063,1034,1641,607,1187.759835040081498,92.738328150907449,128165225.000000000000000,577,1042,1034,1179
,198,4614,3759195491.421129703521729,466,2010,1544,1080.492631122670218,412.932570802778116,4985393.000000000000000,1265,477,466,1168
,199,8074,6578184741.598222732543945,483,2301,1818,855.171414416646030,306.248941652652491,6904654.000000000000000,1205,618,483,770
,200,12853,10471811801.308143615722656,791,1934,1143,1044.249902746440512,212.771689615152070,13421744.000000000000000,897,805,791,977
,201,994,809848356.842783451080322,-1,68,69,25.747484909456741,15.504059918486181,25593.000000000000000,68,7,58,25
,202,11884,9682331863.903057098388672,227,1406,1179,471.006311006395151,226.839208397485976,5597439.000000000000000,988,257,227,394
,203,6989,5694195338.002226829528809,236,2213,1977,679.225783373873242,407.968926128552027,4747109.000000000000000,1347,513,236,512
,204,619,504322065.277347028255463,1279,1742,463,1354.765751211631596,102.407774293480188,838600.000000000000000,204,1288,1279,1310
,205,21268,17327821784.036537170410156,277,2190,1913,954.670631935301913,410.274079467493891,20303935.000000000000000,1788,418,289,916
,206,8058,6565148953.158097267150879,1128,1829,701,1386.937081161578590,135.962220408922207,11175939.000000000000000,630,1323,1624,1383
,207,17852,14544680952.069787979125977,787,2639,1852,1231.514116065426833,298.070265969669094,21984990.000000000000000,1341,807,788,1224
,208,8137,6629513158.581215858459473,911,1717,806,1241.202040063905542,122.300799428619641,10099661.000000000000000,681,1158,911,1228
,209,21086,17179539690.530111312866211,956,1910,954,1288.228729963008618,214.983609997045306,27163591.000000000000000,886,1028,956,1291
,210,302,246050506.807364791631699,2,183,181,58.685430463576161,41.720257117541522,17723.000000000000000,105,11,2,66
,211,18152,14789101985.322137832641602,1130,2030,900,1385.948325253415533,158.483964166133887,25157734.000000000000000,697,1360,1131,1370
,212,16993,13844822060.190561294555664,1127,1714,587,1272.791678926616896,100.378923860565251,21628549.000000000000000,541,1139,1529,1253
,213,1719,1400532520.535960435867310,602,2595,1993,1355.603839441535683,433.305720166428102,2330283.000000000000000,838,603,611,1303
,214,48315,39364007405.290824890136719,1044,1973,929,1269.393707958191044,149.101722265283769,61330757.000000000000000,767,1176,1707,1218
,215,9661,7871172007.503149986267090,1075,1378,303,1167.922471793810246,47.950299601761891,11283299.000000000000000,247,1176,1075,1170
,216,16539,13474931563.202007293701172,1052,1786,734,1377.043593929500048,150.209924164210719,22774924.000000000000000,697,1307,1675,1368
,217,2686,2188382984.386032581329346,1340,1899,559,1540.806403574087881,96.248985508494002,4138606.000000000000000,431,1577,1340,1545
,218,27347,22280606654.506637573242188,198,981,783,547.242000950744114,136.541725060427382,14965427.000000000000000,714,596,198,558
,219,29227,23812311796.221359252929688,0,536,536,90.408081568412769,73.779522423288782,2642357.000000000000000,434,11,0,69
,220,11982,9762176068.098823547363281,5,1384,1379,534.910282089801399,252.820680834771082,6409295.000000000000000,1133,342,16,520
,221,114284,93111377880.704895019531250,0,2368,2368,900.120646809702180,385.984279122895884,102869388.000000000000000,2204,781,1815,909
,222,25338,20643800468.493408203125000,2,1786,1784,615.903149419843658,518.494451983104000,15605754.000000000000000,1709,5,1644,452
,223,311,253383137.804935246706009,1463,1603,140,1525.282958199356926,29.070548387187738,474363.000000000000000,109,1516,1463,1524
,224,64935,52904932647.470970153808594,3,1985,1982,824.513667513667542,293.646904669287835,53539795.000000000000000,1903,924,92,810
,225,423,344633656.885812282562256,-1,506,507,128.297872340425528,95.288940565286083,54270.000000000000000,216,8,-1,114
,226,3062,2494724012.728976726531982,0,2945,2945,881.323971260614030,657.665815461832267,2698614.000000000000000,1588,3,21,794
,227,5184,4223595454.600592613220215,3,1549,1546,713.749228395061778,227.891646671968630,3700076.000000000000000,1023,634,7,679
,228,20498,16700474465.355506896972656,-25,2049,2074,354.249731681139622,292.135154030606373,7261411.000000000000000,1508,19,-25,287
