Rowid_,FID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,0,91655,71897886919.269607543945313,0.000000000000000,10077.522460937500000,10077.522460937500000,9.855994936395552,73.732010850636271,903351.215895334258676
,1,158764,124540899229.184661865234375,0.000000000000000,24306.259765625000000,24306.259765625000000,101.347950437527444,248.044226655602813,16090406.003263607621193
,2,7850,6157857316.199513435363770,48.509582519531250,6597.494140625000000,6548.984558105468750,185.306952834402693,194.325506793079086,1454659.579750061035156
,3,26269,20606465457.228664398193359,0.000000000000000,10000.797851562500000,10000.797851562500000,9.010980541316002,120.553234176548614,236709.447839830070734
,4,145075,113802694286.324142456054688,0.000000000000000,19325.093750000000000,19325.093750000000000,39.720076056207930,200.526898385761029,5762390.033854365348816
,5,30055,23576356896.608455657958984,1.547026991844177,7726.921386718750000,7725.374359726905823,9.791850373467716,66.473571143794686,294294.062974572181702
,6,13693,10741342704.550312042236328,0.634112238883972,1851.282226562500000,1850.648114323616028,37.231150687872635,58.023271580108769,509806.146369040012360
,7,50172,39356944874.950576782226563,1.677045106887817,5023.772949218750000,5022.095904111862183,15.581893584925545,47.597625727940596,781774.764942884445190
,8,15646,12273354849.586954116821289,1.932985424995422,4451.150878906250000,4449.217893481254578,20.737503422208718,75.757031962412512,324458.978543877601624
,9,82118,64416678610.404037475585938,0.097893565893173,20482.509765625000000,20482.411872059106827,21.803343848465058,155.519177862268634,1790446.990148253738880
,10,12805,10044759609.418441772460938,3.926211118698120,116043.507812500000000,116039.581601381301880,338.985035551418207,1959.022091122217034,4340703.380235910415649
,11,29220,22921349143.866214752197266,2.653212547302246,17091.259765625000000,17088.606553077697754,16.955207847161788,150.223647541449509,495431.173294067382813
,12,1184,928777460.175824761390686,2.653212547302246,5.812695026397705,3.159482479095459,4.357434012801261,0.695025659402854,5159.201871156692505
,13,12162,9540364417.785795211791992,7.076692104339600,12195.139648437500000,12188.062956333160400,59.701227807818306,374.741567642549740,726086.332598686218262
,14,18525,14531758825.808406829833984,28.818286895751953,12293.674804687500000,12264.856517791748047,149.804324877657876,233.221884104318264,2775125.118358612060547
,15,9848,7725169280.246217727661133,1.686738610267639,7840.134277343750000,7838.447538733482361,54.111113938771545,156.172176832703343,532886.250069022178650
,16,219,171792452.515629738569260,1.585280537605286,14.800159454345703,13.214878916740417,8.746330868163609,4.822639418933904,1915.446460127830505
,17,26864,21073207508.583915710449219,0.528426826000214,398.731842041015625,398.203415215015411,6.181545116280235,6.314261558551761,166061.028003752231598
,18,15325,12021549473.981853485107422,0.000000000000000,16006.145507812500000,16006.145507812500000,210.635910409306831,583.680432954046069,3227995.327022626996040
,19,3309,2595713357.873145580291748,21.771186828613281,13845.522460937500000,13823.751274108886719,261.279268803716093,903.285636948281081,864573.100471496582031
,20,45363,35584570883.408729553222656,1.815674662590027,19315.376953125000000,19313.561278462409973,117.869771573296163,551.044432864256805,5346926.447879433631897
,21,5194,4074383554.183474540710449,5.601324081420898,3862.352783203125000,3856.751459121704102,189.048852971576025,143.226781453897871,981919.742334365844727
,22,17088,13404517938.753795623779297,1.665601491928101,8966.875000000000000,8965.209398508071899,90.325113803357553,122.272114543296610,1543475.544671773910522
,23,12161,9539579977.363348007202148,0.000000000000000,14384.078125000000000,14384.078125000000000,368.651957789922903,420.038035083684008,4483176.458683252334595
,24,10040,7875781841.355811119079590,3.170561075210571,6560.898925781250000,6557.728364706039429,58.315607013051725,137.462971268752028,585488.694411039352417
,25,6791,5327134908.829413414001465,0.000000000000000,12848.381835937500000,12848.381835937500000,169.520256083767492,554.875636475074202,1151212.059064865112305
,26,11899,9334056586.682550430297852,1.479595303535461,4326.104003906250000,4324.624408602714539,27.353082956962400,76.779812360114050,325474.334104895591736
,27,11792,9250121461.480850219726563,0.000000000000000,7965.362304687500000,7965.362304687500000,79.928325390809675,118.386021305886175,942514.813008427619934
,28,57219,44884896531.926109313964844,0.000000000000000,19165.673828125000000,19165.673828125000000,99.161969199584192,208.566319647000313,5673948.715631008148193
,29,11134,8733959663.511514663696289,1.479595303535461,10595.279296875000000,10593.799701571464539,69.079899677655121,161.862103884472958,769135.603011012077332
,30,6530,5122395958.571060180664063,1.124492406845093,146.479919433593750,145.355427026748657,20.835717739755854,25.126847784415222,136057.236840605735779
,31,137,107468337.875074312090874,4.990463256835938,1090.769531250000000,1085.779067993164063,57.545398217918226,179.446915144237096,7883.719555854797363
,32,23200,18199017800.742511749267578,2.747819662094116,1294.400512695312500,1291.652693033218384,8.943267872107439,31.423193569387585,207483.814632892608643
,33,5151,4040652616.018305301666260,0.528426826000214,1726.328125000000000,1725.799698173999786,9.836715749642659,32.585944371715897,50668.922826409339905
,34,884,693445333.442085385322571,2.008022069931030,24.583473205566406,22.575451135635376,6.629294444532955,3.176309089363569,5860.296288967132568
,35,2430,1906190226.543288946151733,0.739797651767731,184.568984985351563,183.829187333583832,12.217557113381570,14.283744359265338,29688.663785517215729
,36,197072,154591242932.238281250000000,0.612279772758484,8971.167968750000000,8970.555688977241516,10.244713526278410,50.581743920089195,2018946.184050738811493
,37,32755,25694346037.212112426757813,0.000000000000000,10994.871093750000000,10994.871093750000000,164.797256363889773,300.877150222272121,5397934.132199209183455
,38,374,293380717.994728446006775,0.205675348639488,9.397542953491211,9.191867604851723,1.180862757292661,1.098144819058607,441.642671227455139
,39,13748,10784486927.784830093383789,0.145845800638199,363.414978027343750,363.269132226705551,10.431755019363221,11.527335553999446,143415.768006205558777
