Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,0,54,155029.586372700025095
,0,1,54,410784.786567386414390
,0,2,54,564904.766455969307572
,0,3,54,971863.121927739353850
,0,4,54,563432.664257280528545
,0,5,54,232823.528267251240322
,0,6,54,915524.100514382240362
,0,7,54,517780.678202694398351
,0,8,54,736331.334653014666401
,0,9,54,700433.750403355457820
,0,10,54,700911.906803955207579
,0,11,54,152060.365547667723149
,0,12,54,304455.554977441905066
,0,13,54,205876.204322110745125
,0,14,54,730611.412429898045957
,0,15,54,907951.440190203953534
,0,16,54,638394.067504953127354
,0,17,54,601392.467732620076276
,0,18,54,587700.260716565418988
,0,19,54,246026.315479835902806
,0,20,54,317687.304231933667324
,0,21,54,679761.143848845153116
,0,22,54,824325.798484615981579
,0,23,54,662979.622641338966787
,0,24,54,237665.364464537677122
,0,25,54,392898.630969554884359
,0,26,54,870209.832848101272248
,0,27,54,846276.885126464185305
,0,28,54,614365.391656384919770
,0,29,54,857813.492042580503039
,0,30,54,892332.949288282892667
,0,31,54,764802.861160492757335
,0,32,54,266653.352520859043580
,0,33,54,933792.389893490006216
,0,34,54,986204.085561169311404
,0,35,54,1038152.569858623319305
,0,36,54,444446.461153357522562
,0,37,54,794335.292081231251359
,0,38,54,831794.952998812892474
,0,39,54,894768.133888907497749
,0,40,54,554929.547407702659257
,0,41,54,354496.618156917742454
,0,42,54,119372.220270678444649
,0,43,54,328032.156844803772401
,0,44,54,971233.596072886022739
,0,45,54,155523.258763145451667
,0,46,54,974137.483726161764935
,0,47,54,401000.169547191064339
,0,48,54,777877.595152822672389
,0,49,54,284085.843143813952338
,0,50,54,1086447.470443684142083
,0,51,54,1041550.817673915182240
,0,52,54,1548211.632818095386028
,0,53,54,1417699.906443206593394
,0,54,54,1705101.711564881261438
,0,55,54,1243667.915161118609831
,0,56,54,1495078.539522585226223
,0,57,54,1069261.648595223668963
,0,58,54,1329370.708035852992907
,0,59,54,1291453.664099743124098
,0,60,54,1578197.752354942727834
,0,61,54,780576.936221792129800
,0,62,54,1581087.081757185980678
,0,63,54,1320979.613253267249092
,0,64,54,1462378.563394194468856
,0,65,54,930429.813989609829150
,0,66,54,1687015.908945843577385
,0,67,54,1194148.282710288418457
,0,68,54,1251815.505341232055798
,0,69,54,1150440.659813446458429
,0,70,54,1226201.472381988540292
,0,71,54,1156369.194146716967225
,0,72,54,885783.094445029506460
,0,73,54,1483553.063561257440597
,0,74,54,1334664.598512457683682
,0,75,54,1385692.919786780606955
,0,76,54,1335435.420603250386193
,0,77,54,1141298.896207264624536
,0,78,54,1605092.586574099026620
,0,79,54,1125428.279119704617187
,0,80,54,1032364.404712204821408
,0,81,54,953252.057284299982712
,0,82,54,1216188.658114888938144
,0,83,54,942265.570902700186707
,0,84,54,765746.534183376235887
,0,85,54,852654.055272174533457
,0,86,54,1021592.102993371314369
,0,87,54,1031323.681747000082396
,0,88,54,973401.065843200311065
,0,89,54,1075012.026614077156410
,0,90,54,9970.965867212828016
,0,91,54,204481.561895154154627
,0,92,54,49573.621418519898725
,0,93,54,109932.747440742925392
,0,94,54,65920.622664181282744
,0,95,54,110424.712425720485044
,0,96,54,260089.306239337049192
,0,97,54,158032.097307748976164
,0,98,54,235527.581378930713981
,0,99,54,22788.598136650587549
,0,100,54,331500.851411865034606
,0,101,54,62079.704160677523760
,0,102,54,506213.643894351844210
,0,103,54,236149.648739175347146
,0,104,54,1016230.239660915452987
,0,105,54,55252.409374928764009
,0,106,54,552066.831384728313424
,0,107,54,55997.507918408198748
,0,108,54,739521.498557909857482
,0,109,54,47397.061120059086534
,0,110,54,604490.063260943512432
,0,111,54,948583.499629799393006
,0,112,54,247633.129877850442426
,0,113,54,812774.482779733021744
,0,114,54,603333.945736070279963
,0,115,54,399215.230177779681981
,0,116,54,581914.784650818677619
,0,117,54,665701.949267347576097
,0,118,54,431637.389169927570038
,0,119,54,376651.749974546022713
,0,120,54,638678.467813358060084
,0,121,54,160314.163322383479681
,0,122,54,168152.306516548938816
,0,123,54,82169.119259243714623
,0,124,54,732559.600738482200541
,0,125,54,871508.037598459282890
,0,126,54,721574.266244468744844
,0,127,54,553406.450951988692395
,0,128,54,135004.298858522321098
,0,129,54,10902.861002582509172
,0,130,54,562925.707241133786738
,0,131,54,662583.195979446405545
,0,132,54,447091.312115196255036
,0,133,54,150760.980080400506267
,0,134,54,857812.890490451827645
,0,135,54,989774.390280957217328
,0,136,54,699440.228054203093052
,0,137,54,597771.973303431877866
,0,138,54,237369.342626821598969
,0,139,54,496379.986673948995303
,0,140,54,525820.322381040081382
,0,141,54,646535.717220333172008
,0,142,54,281911.868226236547343
,0,143,54,686252.955941775464453
,0,144,54,635474.575663577299565
,0,145,54,601514.862612737109885
,0,146,54,293802.506993631715886
,0,147,54,538143.105276692076586
,0,148,54,618441.259169342694804
,0,149,54,395034.267196903121658
,0,150,54,258907.766407916729804
,0,151,54,303704.648066649271641
,0,152,54,421156.745521393488161
,0,153,54,849303.120278707821853
,0,154,54,282900.530265073059127
,0,155,54,34461.775493098444713
,0,156,54,253387.606120292737614
,0,157,54,33238.819635196639865
,0,158,54,916855.465150764444843
,0,159,54,802872.242614268092439
,0,160,54,323521.837412069260608
,0,161,54,343829.982033083855640
,0,162,54,488500.353494482114911
,0,163,54,642038.058310728985816
,0,164,54,862861.746926888707094
,0,165,18,7106.840649134469459
,0,166,54,894768.871515049831942
,0,167,54,390182.696930492122192
,0,168,54,405512.429015318048187
,0,169,54,708560.082121359999292
,0,170,54,667883.913003396126442
,0,171,54,562654.580071600852534
,0,172,54,475032.925787442130968
,0,173,54,489743.426994064648170
,0,174,54,515788.353754443291109
,0,175,54,700720.510972857708111
,0,176,54,45939.397596191425691
,0,177,54,649023.612219779519364
,0,178,54,146915.561505324963946
,0,179,54,762118.388297936995514
,0,180,54,654613.437565168016590
,0,181,54,391773.946402261266485
,0,182,54,55936.979890187023557
,0,183,54,174212.316222461668076
,0,184,54,296484.850668870552909
,0,185,54,491380.585499950160738
,0,186,54,333128.268455907469615
,0,187,54,96668.218982169550145
,0,188,54,358144.042778044298757
,0,189,54,239356.340790694172028
,0,190,54,68118.360741459851852
,0,191,54,320728.921105838322546
,0,192,54,348284.565700885315891
,0,193,54,166536.680073793453630
,0,194,54,121334.181328769976972
,0,195,54,966347.339492685277946
,0,196,54,585478.018106501316652
,0,197,54,626986.432775034569204
,0,198,54,525537.657306768116541
,0,199,54,150450.540391577669652
,0,200,54,753035.165602969005704
,0,201,19,1475.096393254128088
,0,202,54,277779.062210357864387
,0,203,54,79607.892315879784292
,0,204,54,952679.592716292245314
,0,205,54,214535.660777471144684
,0,206,54,903675.486613795976155
,0,207,54,635623.041322641423903
,0,208,54,342599.967115953331813
,0,209,54,532947.607371661695652
,0,210,54,8230.964615041621073
,0,211,54,587455.586846440914087
,0,212,54,818269.880699772853404
,0,213,54,454043.107739195518661
,0,214,54,596435.128145793685690
,0,215,54,780125.894189212005585
,0,216,54,436608.767134701600298
,0,217,54,382309.653527800051961
,0,218,54,310045.899116001732182
,0,219,54,49260.356017070669623
,0,220,54,78985.443927020780393
,0,221,54,122090.811381662773783
,0,222,54,55418.698045402401476
,0,223,54,140551.923020340444054
,0,224,54,188323.376226886670338
,0,225,10,4177.071717236253789
,0,226,1,21794.194962562105502
,0,227,54,45779.746483533468563
,0,228,54,59428.761746480959118
,0,229,54,354127.103695112862624
,0,230,54,208676.126818471180741
,0,231,54,114738.855796620904584
,0,232,54,320394.813003552553710
,0,233,54,337955.503659108420834
,0,234,54,283164.249619483132847
,0,235,54,358501.705062585358974
,0,236,54,198876.838722762855468
,0,237,54,151565.324759547336726
,0,238,54,26609.760990668855811
,0,239,54,83635.171059405576671
,0,240,54,145646.629922029766021
,0,241,54,40821.017125655940617
,0,242,54,136092.350569331232691
,0,243,54,212524.116747521242360
,0,244,54,78724.196684587674099
,0,245,54,178698.200973051629262
,0,246,54,154271.428390013723401
,0,247,54,98242.037335666434956
,0,248,54,82803.969863541657105
,0,249,54,198877.708245252928464
,0,250,54,15256.528642922019571
,0,251,54,281976.507508034934290
,0,252,54,289570.081244670785964
,0,253,54,148927.830575545551255
,0,254,54,352246.523783195589203
,0,255,54,703331.176748616271652
,0,256,54,833751.169425674364902
,0,257,54,795888.446847893414088
,0,258,54,880546.118857298512012
,0,259,54,266290.214549768134020
,0,260,54,460753.496958062867634
,0,261,54,778837.840131167089567
,0,262,54,367684.667838207213208
,0,263,54,771497.362608275841922
,0,264,54,191271.238328286533942
,0,265,54,540533.514620251720771
,0,266,54,156735.852796308841789
,0,267,54,131139.784151612722781
,0,268,54,824898.353516844799742
,0,269,54,751744.735069897491485
,0,270,54,699434.246924834093079
,0,271,54,211672.317051641788566
,0,272,54,415214.790650032926351
,0,273,54,29853.236174866891815
,0,274,54,107593.048024474570411
,0,275,54,1584974.077654877211899
,0,276,54,1118393.549637893214822
,0,277,54,1170609.738863122183830
,0,278,54,1161107.897041462361813
,0,279,54,1674834.990412947721779
,0,280,54,1394670.602567367954180
,0,281,54,1597567.086670449003577
,0,282,54,946665.835587255423889
,0,283,54,1396870.101213978836313
,0,284,54,740659.407884087762795
,0,285,54,1121140.915260330075398
,0,286,54,1002202.384869486442767
,0,287,54,1112069.379211509833112
,0,288,54,1411029.423138541635126
,0,289,54,1484022.583372495369986
,0,290,54,866219.747180871316232
,0,291,54,1245236.299754419829696
,0,292,54,1098494.742436116561294
,0,293,54,1333489.941754200262949
,0,294,54,1377488.807716582668945
,0,295,54,671833.082223083940335
,0,296,54,1342066.052163877757266
,0,297,54,1099494.132818824378774
,0,298,54,993439.330735012772493
,0,299,54,1090752.633598226588219
,0,300,54,815706.089935375493951
,0,301,54,673186.524696903652512
,0,302,54,733962.587538144784048
,0,303,54,1271228.888586992165074
,0,304,54,433251.712869041890372
,0,305,54,1036984.336905426578596
,0,306,54,988227.764265527832322
,0,307,54,1177756.817253635497764
,0,308,54,1264813.512372033437714
,0,309,54,1673266.765274588018656
,0,310,54,1182596.808612843276933
,0,311,54,541968.929948241682723
,0,312,54,198471.072773454972776
,0,313,54,1158739.827414150582626
,0,314,54,910308.946878527523950
,0,315,54,1378953.341261997586116
,0,316,54,561185.674194296472706
,0,317,54,860066.699186268728226
,0,318,54,931052.606712166569196
,0,319,54,1120326.857972095487639
,0,320,54,764678.603179791592993
,0,321,54,1144009.621362908743322
,0,322,54,1403263.169239354785532
,0,323,54,1272270.966293757315725
,0,324,54,1439649.768069068202749
,0,325,54,1280632.060920915566385
,0,326,54,1431161.212794817052782
,0,327,54,1125477.024346848484129
,0,328,54,1270083.764532842906192
,0,329,54,1204505.488690424477682
,0,330,54,948220.452385541866533
,0,331,54,949876.495024377247319
,0,332,54,945014.905600681900978
,0,333,54,566613.783272448112257
,0,334,54,1562230.340080546448007
,0,335,54,1293406.077923801494762
,0,336,54,1476788.531643304508179
,0,337,54,1418907.077499840175733
,0,338,54,1504554.677989506628364
,0,339,54,933351.452696485910565
,0,340,54,534817.461825849837624
,0,341,54,951648.047337695374154
,0,342,54,1482284.594783026725054
,0,343,54,1390211.790248504839838
,0,344,54,1351485.722281503025442
,0,345,54,1149488.966926210559905
,0,346,54,1344353.606690638232976
,0,347,54,1437802.102873057825491
,0,348,54,1059543.772308469749987
,0,349,54,1674983.113728618016466
,0,350,54,1132801.742270029848441
,0,351,54,936278.477368422085419
,0,352,54,1264151.420292538125068
,0,353,54,1040527.682737880735658
,0,354,54,1235567.934595908969641
,0,355,54,1398093.136554581345990
