Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,0,423,78743.425295829423703
,0,1,417,14781.852666832046452
,0,2,417,96403.425018275782350
,0,3,362,41810.920642804514500
,0,4,317,311444.274380731687415
,0,5,382,32275.222011632002250
,0,6,362,92679.949844004426268
,0,7,317,61791.872593153922935
,0,8,453,35614.254650869501347
,0,9,317,120479.680434311681893
,0,10,317,313342.574305596586782
,0,11,382,67830.960433134052437
,0,12,353,13717.236306062060976
,0,13,382,57826.153995028405916
,0,14,362,260331.807122813508613
,0,15,362,84425.282811935976497
,0,16,453,1661.200555540095820
,0,17,453,62784.651188766976702
,0,18,362,419852.783033483661711
,0,19,382,115416.858759666851256
,0,20,382,204444.197530117235146
,0,21,362,317853.898987531370949
,0,22,362,167347.351865299016936
,0,23,362,345094.908182996383402
,0,24,459,145853.109189540205989
,0,25,417,28538.232511888039880
,0,26,362,26694.908601687180635
,0,27,317,155231.635081594693474
,0,28,417,266099.370896686334163
,0,29,362,71430.689879896803177
,0,30,362,116068.520606856065569
,0,31,453,3376.017127610584339
,0,32,353,50460.159826312781661
,0,33,362,85016.490344161866233
,0,34,362,7239.582468136681200
,0,35,362,8893.410822909378112
,0,36,353,198472.024961301853182
,0,37,362,214269.519289708929136
,0,38,317,6233.234708188160766
,0,39,324,40690.094792036587023
,0,40,453,2808.041500086922042
,0,41,353,16630.083098326136678
,0,42,459,56220.901256716890202
,0,43,353,51881.606530698452843
,0,44,362,49925.197826765768696
,0,45,459,53682.739757258357713
,0,46,362,8890.397990906911218
,0,47,423,301075.879003106034361
,0,48,362,159498.667666664958233
,0,49,423,205579.125341962819220
,0,50,313,4712.156638605073567
,0,51,362,26301.812330620490684
,0,52,330,83997.089318363374332
,0,53,330,7612.210819501327933
,0,54,359,30423.836021121052909
,0,55,313,109659.785353573010070
,0,56,359,205609.892581252846867
,0,57,313,39298.332583739917027
,0,58,415,174426.028468528093072
,0,59,313,104086.351980767038185
,0,60,415,56803.886966609548836
,0,61,415,4827.694984883533834
,0,62,415,18069.130192292381253
,0,63,330,67040.236612099703052
,0,64,415,146457.470060464984272
,0,65,362,15252.348938340846871
,0,66,415,68362.536474442065810
,0,67,313,28043.048925336894172
,0,68,330,14523.033520703818795
,0,69,313,81840.480759431535262
,0,70,313,5207.155688281417497
,0,71,313,38709.941291903749516
,0,72,415,55466.020098631743167
,0,73,330,140220.911506275995634
,0,74,330,225921.675108262366848
,0,75,330,104084.444995864876546
,0,76,330,34494.962212720434763
,0,77,362,133631.244246878690319
,0,78,359,96510.640543437082670
,0,79,362,149738.432100606296444
,0,80,313,5058.099654559356168
,0,81,415,76580.462301653664326
,0,82,313,172098.664586623344803
,0,83,362,4221.368168513386081
,0,84,415,6399.312054165843620
,0,85,415,18375.615408790239599
,0,86,415,34366.117873375158524
,0,87,362,18651.301326335567865
,0,88,328,30931.384574882831657
,0,89,328,65703.297997051369748
,0,90,414,4619.045861315031289
,0,91,311,89766.002897661397583
,0,92,311,41198.417960710976331
,0,93,414,109869.956981550203636
,0,94,414,65921.383478368225042
,0,95,396,63247.247336398759217
,0,96,353,17070.251005097125017
,0,97,414,157455.686943045904627
,0,98,353,41114.185675558816001
,0,99,259,20303.722884671155043
,0,100,311,69358.791816526805633
,0,101,259,51361.755391310551204
,0,102,317,174787.208945911610499
,0,103,266,1464.633384939347707
,0,104,315,6034.957856463802273
,0,105,266,30980.849191274242912
,0,106,278,106893.786050130409421
,0,107,259,42346.703368717950070
,0,108,309,2233.521186785481405
,0,109,259,43923.446290953674179
,0,110,266,48401.672018663324707
,0,111,309,2323.235175265359885
,0,112,266,171868.904098053433700
,0,113,309,2663.379779989266353
,0,114,309,125924.445465350800077
,0,115,266,183603.327045769983670
,0,116,278,42899.482084674142243
,0,117,278,4548.211521627207730
,0,118,266,70454.470765426565777
,0,119,311,296891.414978874789085
,0,120,278,89854.849132373550674
,0,121,266,3128.018387226461073
,0,122,311,120300.401588886452373
,0,123,266,8057.540501007898456
,0,124,320,73756.781746772656334
,0,125,320,5649.580979200211914
,0,126,309,13308.697831124602089
,0,127,320,158024.672468258882873
,0,128,259,134605.868834023101954
,0,129,259,10125.903170153957035
,0,130,266,7198.789922188324454
,0,131,309,88097.470339162173332
,0,132,266,4060.668262822824545
,0,133,266,72939.205827033045352
,0,134,320,53036.621547789269243
,0,135,328,7117.180371372393893
,0,136,309,35008.555918960737472
,0,137,155,66900.760508267761907
,0,138,45,352.139189779112542
,0,139,155,17010.968388428329490
,0,140,139,6263.817484737533960
,0,141,190,2236.084801796987449
,0,142,45,3726.415941047255728
,0,143,190,28237.224290736870898
,0,144,190,8836.468949573660211
,0,145,188,7411.131330877003165
,0,146,45,44396.321863112716528
,0,147,45,7657.784420900996338
,0,148,190,36359.765459139045561
,0,149,155,40956.063851317303488
,0,150,45,8686.801970707740111
,0,151,266,56491.101553782704286
,0,152,157,120044.202565944069647
,0,153,236,62784.502132061687007
,0,154,266,234173.173125699860975
,0,155,226,29921.840915021373803
,0,156,266,29208.034755364304146
,0,157,266,24428.141319242899044
,0,158,272,5067.405795511533142
,0,159,236,48081.565866131219082
,0,160,226,322879.986214477801695
,0,161,266,194827.857394109189045
,0,162,271,233802.930286997172516
,0,163,271,23572.222747934425570
,0,164,254,65784.214052554540103
,0,165,220,7106.346279017155211
,0,166,271,44673.431756458623568
,0,167,185,253510.246344437851803
,0,168,266,201570.422936104732798
,0,169,197,23790.222790924795845
,0,170,271,6893.859847935750622
,0,171,197,256293.846514691918856
,0,172,271,187750.768771618255414
,0,173,157,44572.628943392854126
,0,174,149,9608.904176975458540
,0,175,236,161491.716706399689429
,0,176,226,45395.312955298650195
,0,177,193,17409.557470792569802
,0,178,226,146285.935871254885569
,0,179,197,45173.020816295749682
,0,180,266,8305.147402219543437
,0,181,125,111953.366066751856124
,0,182,125,48708.016887711266463
,0,183,125,36786.316808349838539
,0,184,266,115605.744245047695586
,0,185,66,52848.370432870891818
,0,186,143,189028.151043804333312
,0,187,266,43154.814411721614306
,0,188,266,168092.336178435332840
,0,189,226,201581.062340060685528
,0,190,226,58145.129568850250507
,0,191,266,209053.616430986265186
,0,192,157,214752.234857796662254
,0,193,226,166219.322408997773891
,0,194,226,120670.505990838864818
,0,195,272,9689.919942350677957
,0,196,188,40253.222437917655043
,0,197,271,244282.530156226333929
,0,198,96,19940.405598172368627
,0,199,266,35617.184189643863647
,0,200,236,105029.478883948409930
,0,201,225,1488.404074489616050
,0,202,226,241948.554201581166126
,0,203,266,58884.286529118609906
,0,204,262,6668.680010997113641
,0,205,226,213924.605701063759625
,0,206,254,17074.740057257131411
,0,207,197,98292.900328756266390
,0,208,266,290717.917025839618873
,0,209,186,164005.884018986398587
,0,210,226,5085.126786550944416
,0,211,271,68181.681012612607446
,0,212,271,15063.728368966350899
,0,213,266,15447.870848573938929
,0,214,271,71673.877997705945745
,0,215,271,94422.527136516102473
,0,216,271,321517.101177509699482
,0,217,266,268583.694207925640512
,0,218,125,51567.060394363601517
,0,219,226,45804.275854073312075
,0,220,226,76774.002625895402161
,0,221,403,121992.333280252511031
,0,222,403,55418.263258605038573
,0,223,382,4299.970059322681664
,0,224,396,85764.026504724926781
,0,225,49,4015.190471836041070
,0,226,19,22078.501225932646776
